Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
820,Goverre,"a spill-proof portable wine glass . Goverre is a modern, portable wine glass which is made with thick glass surrounded by a silicon sleeve. This glass is a better solution since beverages taste better in glass than plastic or stainless steel.",1,LG+MC+RH
820,Loctote Industrial Bag Co.,a drawstring pack that is cut-resistant and has security features . Loctote is an ultra secure backpack that is a theft-proof as well as slash-proof.,1,RH
820,See Rescue Streamer,a large streamer used as an emergency signal device . See Rescue Streamer is a rescue signal device that can be used on land and in the water day or night. It highlights your location so you stand out against your surroundings.,0,
819,Blendtique Wine Company,"a kit for customers to create personalized wine blends . Blendtique Wine Company offers one of a kind opportunity in the form of signature blending kit to people so that they can take part in the winemaking process -not simply to taste, but to blend, experiment, and even package a wine created thoughtfully by them. Customers can check out the blending process using the blending kits on their website, create their own blend selection and label, then have it shipped right to their door.",1,LG
819,MealEnders,"natural lozenges designed to help with weight management . MealEnders offers medicinal drug-less products that help you to beat overeating, master portion control and curb snacking. These productsÂ address the psychology of eating and help break the cycle of overeating and snacking.",0,
819,RareForm,"backpacks and bags made from recycled billboards . Rareform transforms billboard vinyls intoÂ stylish bags and backpacks which areÂ unique, bold, and eco-friendly. it makes for the perfect material to create one-of-a-kind designs.",1,KOL
819,The Sleep Styler,"hair rollers that dry and style overnight . The Sleep Styler is an exclusive product that keeps your hair dry and stylish while you sleep.Â The average woman spends an hour a day drying and styling her hair, but The Sleep Styler cuts that down to just 5 minutes!",1,LG
818,DartDrones,"drone pilot training courses . DARTdrones offers highest quality training on Unmanned Aerial Systems to ensure the safe integration of drones into the national airspace. This isÂ Americaâ€™s leader in drone training, consultations, and certifications for corporations, government agencies, and recreational drone pilots.",1,MC
818,Ora Organic,"plant-based nutritional supplements . Ora Organic createsÂ organic, plant-based nutrition which is made by and for healthy foodies toÂ replace synthetic supplements with nutrients from organic & sustainable sources. It is not onlyÂ delicious but alsoÂ delicious in taste.",0,
818,Sand Cloud,"beach towels supporting ocean sustainability . San Cloud manufactures a stylish and standard beach towels. These towels feature a pillow and fun designs, including tie dye, pineapple, mandala, black acid wash and more.When you purchase Sand Cloud has a social mission since 10% of its net profits are donated to organizations that help to protect oceans and marine life.",1,RH
818,The Elephant Pants,a clothing line supporting elephant preservation . The Elephant Pants offersÂ comfortable elephant-themed apparel especially pantsÂ that anybody has ever worn with a mission to save elephants from exploitation. They donate a portion of each sale to the International Elephant Foundation.,1,DJ
817,Bitsbox,a subscription box service that teaches kids computer coding . Bitsbox offersÂ crazy fun app-building projects that come in the mail every month. This teaches Kids to love coding which can be played on any smartphone or tablet.,0,
817,Edn Wallgarden,"an indoor planter that uses smart technology to help grow the plants . EDN Wallgarden provides intelligent and beautiful indoor gardens that enable anyone to grow fresh herbs, vegetables, and even flowers â€“ all year around, at the push of a button. They have a mission to change the way the world grows and consumes food.",0,
817,Hotels by Day,"an app for booking day-use hotel rooms . HotelsByDay is the premier provider of day-stay hotel spaces at the dicount rate withÂ flexibility, comfort, and a space of your ownâ€”by day.",0,
817,Toymail,"a plush toy that allows children to send voice messages to approved contacts . Toymail is an interesting and needful app that allows kids to voice chat with friends and family without using a phone. It works through toys. With just a push of a button, kids can connect to Mom, Dad, Grandparents and friends at any time, from anywhere.",1,Others
816,Doc Spartan,an all natural first aid ointment . Doc Spartan produces all natural skin and beard products. This business donates a portion of their proceeds to Team Some Assembly Required.,1,RH
816,Fire Fighter Turn Out Bags,bags made from used gear worn by firefighters . Firefighter Turnout Bag recyclesÂ expired firefighter gear and createsÂ stylish bags from it.,1,LG
816,Peaceful Fruits,"natural fruit snacks made with açai . Peaceful Fruits offers rainforest-friendly, fair trade and organic fruit snacks that are not only nutritious but also sustainable.",0,
816,Tranquilo,"a vibrating mat for calming crying babies . Tranquilo is a vibrating matÂ that calms crying babies by mimicking the sounds and motions of the womb. The mat activates a babyâ€™s calming response with comforting heartbeat vibrations combined with white sound, helping to create much-needed sleep for parents and baby.",1,RH
815,Chirps,"corn chips enhanced with cricket protein . Chirps areÂ sustainable and nutritious cricket flour-based chips which are made ofÂ stone-ground corn, beans, chia seeds, and of course cricket flour. They are not onlyÂ gluten-free but also provide the most sustainable protein sources.",1,MC
815,Getaway,a rental service of camping sites with tiny houses . Getaway is a service that provides instant cabin in the form of tiny houses for disconnecting from daily routine life so that we can recharge ourselves and enjoy the beauty of nature.,0,
815,Popup Play,"play sets custom designed by children via a tablet . PopUp play is a 3D touch-based app that helps kidsÂ to create their own custom toys on demand. With this,Â the next generation of architects and engineers can discover the joy of building and designing since age three.",1,Others
815,Vibes,high-fidelity earplugs specially designed for use at concerts . Vibes are quality high-fidelityÂ earplugs designed for live music. They enhance the live-sound experience by allowing usÂ to hear the music exactly the way it intended to be heard without the damaging level of sounds.,0,
814,DBest Products,"a line of carriers and portable carts . dbest products offer perfect lightweight, collapsible cart which is most suitable for storage and packaging. They also include collapsible coolers, collapsible pet carriers, folding dollys and folding backpacks.",1,LG+MC
814,Little Nomad,stylish foam children's play mats . Little Nomad offers foam play mats that are not only beautiful but also practical. These mats connect seamlessly and can even be used as a soft flooring solution.,0,
814,RinseKit,a portable shower system . RinseKit is the revolutionary portable shower system with a pressurized capacity without pumping or batteries. ThisÂ pressurized spray lasts for up to four minutes and is ideal for a quick rinse off for both humans and animals alike.,1,Others
814,The Kooler,"an insulated water cooler with containers for secondary beverages . The Kooler is a Kooler within a kooler and is designed to hold your pre-workout, workoutÂ and post-workout drinks. The outer cooler holds one gallon andÂ the remaining space is taken up by shaker bottles, which each hold 23 ounces.",1,DJ
813,Basic Outfitters,"a service providing drawers of men's clothing basics . Basic Outfitters is an exclusive onlineÂ store for men, where they can purchaseÂ all their basics, including socks, underwear, tees and joggers affordably.",0,
813,Naturally Perfect Dolls,dolls with features representing diverse cultures and ethnicities . Naturally Perfect dolls create the line of dolls thatÂ encourages self-acceptance in every young girl and let girls know that they are beautiful just the way they are.,1,DJ
813,PDX Pet Design,a line of cat toys and care products . PDX Pet Design creates products that intrigue cats and keep them interested in playing.,0,
813,Victory Coffees,"a line of organic, fair trade coffee . Victory Coffees offer 5-Star coffee which is organically brewed and includes a selection of whole bean, ground or K-cups. Their serviceÂ delivers this quality coffeeÂ right to the doorstep through multiple membership options at variable prices.",0,
812,Digiwrap,"customizable gift wrap and gift bags . DigiWrap offers a digitally printed tissue paperÂ toÂ personalize gift giving, perfect for any occasion!",1,KOL
812,Hand Out Gloves,"gloves with a removable finger portion to easily allow bare-handed tasks . Hand Out Gloves areÂ durable, breathable, waterproof glovesÂ that can keep your hands warm and dry all day, yet stillÂ allow you to quickly get your hands out to take care of things that need your touch,Â without removing the whole glove..",1,BC
812,PolyGlide,a synthetic ice material for skating at home . PolyGlide is a high-grade synthetic ice surface that allows people to do ice skating anywhere and in any kind of weather. it makes winter activities a year-round celebration.,0,
812,Sealed by Santa,"a service to send letters and packages to kids from Santa Claus . Sealed By Santa is an innovative service that helps parents to arrange for their kids to receive not only a personalized letter from Santa, but also a video greeting, phone call and certified proof that they made the Nice List.",1,LG
811,Grease Bags,"disposable, compostable bags for disposing of household grease . Grease Bags is an innovative eco-friendly product that allows people to dispose of their used cooking greaseÂ and at the same time, help protect the environment.",1,BC
811,Mama's Milk Box,"a subscription box service of women's clothing for nursing mothers . Mamaâ€™s Milkbox is a breastfeeding apparel subscription service which provides high-quality breastfeeding fashion to moms who want to look good, feel good, and easily breastfeedÂ their babies.",0,
811,NicePipes Apparel,arm and legwarmers made from yoga workout material . NicePipes Apparel offers exclusiveÂ athletic leg and arm warmers perfect for any workout and designed for the fit and fashionable.,0,
811,Pinblock,children's building blocks that are flexible . PinBlock offers an innovative way to buildÂ structures and do art with mini blocks that stack and rotate.,1,KOL
810,Barbell Apparel,men's clothing tailored for active wear ,0,
810,ENERGYbits,"algae tablets to increase energy and focus . EnergyBits offers algae tabs to eliminate fatigue and hunger. It delivers a boost of natural energy, without caffeine or harmful chemicals.",0,
810,Line Cutterz,a finger ring with a cutter for fishing line . Line CutterzÂ is a finger ring with a cutter for fishing line.The adjustable ring has a double-sided blade and can cut mono-filament and braided fishing line.Â It offers a quick and convenient cut.,1,DJ
810,PupBox,"a subscription box service for puppy owners . PupBox is for raising puppies. The boxes include training tips, meaty treats, toys, essential accessories, and chews. Based on your puppyâ€™s profile, customized items are selected for each box.",1,RH
809,Chi'lantro,a Korean BBQ food truck and restaurant ,1,BC
809,Jack's Stands & Marketplaces,"a service that provides stands and training for young entrepreneurs to sell their products . Jackâ€™s Stands offers young entrepreneurs the opportunity to operate drink stands run by kidsÂ in great retail marketplaces, malls and farmers markets.",1,Others
809,Milk Snob,"a soft baby stroller and car seat cover that doubles as a nursing cover . Milk Snob is a lifestyle brand for the modern parent which is a multi-functional cover that can be used as a nursing cover, car seat cover, stroller cover, among other uses",1,LG
809,Toor,"a lockbox connected to an app that allows a real estate buyer quicker access to the property . Toor is a platform that consists of a smart lockbox and app which helps in connecting buyers, sellers, renters, agents, inspectors, contractors, guests and hostsâ€”so people can request a house tour remotely and not have to schedule a realtor meeting.",1,BC+KOL
808,besomebody,an app to facilitate experiential learning by booking live experiences with mentors and experts in various activities . Besomebody helps people live out their passions. This experience marketplace app allows you to connect with people who share your interests and find experiences around the world that match those interests.,0,
808,Eco Flower,"artificial flowers made from recycled materials . Eco Flower offers beautiful, classic bouquets made out of recycled materials including wood, fabric, paper, and more.Â It is specialized in floral bouquets created with sustainable and recycled materials.",1,DJ
808,Safe Catch,a machine that can test the mercury content in tuna . Safe Catch invented technology to test every fish for mercury and providesÂ low-mercury tuna in a can. and they do not add any fillers or other chemicals.,0,
808,The Style Club,"women's fashions marketed through videos and social media . The Style Club is a multi-platform shopping experience in one place which targets the younger consumer. Its purpose is to create limited edition collections that say something and mean something, just a little bit more than your average tee.",1,MC
807,Inboard Technology,"an electric skateboard company . Inboard Technology is a lightweight, high-performance electric skateboard with motors inside the wheels. It has a rechargeable battery and can go up to 24 mph.",1,KOL+LG
807,Nomiku,a home version of a sous-vide cooker . Nomiku is one of the innovative wifi home-cooking products that let people cook sous vide (or under vacuum and under a constant temperature) at home. It is an easy to use and affordable product that allows anyone to cook like a professional chef.,1,Others
807,Nootrobox,"chewable coffee cubes . Nootrobox offers supplements and software for cognitive and human enhancement. It showcases chewable coffee products that not only boost memory, resilience, and clarity but also improves sleep patterns and brain protection.",0,
807,PetPlate,"a delivery service of freshly cooked pet food . PetPlate is a pet food subscription service, which not only offers quality food made from gluten-free natural ingredients full ofÂ vitamins and minerals, but also delivers themÂ straight to the your doorstep.",0,
806,Parker's Maple,"a line of maple syrup, maple butter, and other associated products . Parkerâ€™s Maple is a line of maple syrup, maple butter, and other associated products. Parker produced his first bottle of Real Maple Syrup in 2009 when he was just 11 years old shortly after going on a field trip where he learned how to make maple syrup.",0,
806,SafeGrabs,"silicone mats for multi-purpose kitchen use . SafeGrabs is a multi-use kitchen accessory. This silicone mat serves as both a splatter guard and pot holder. It can also be used as the jar opener, food cover, utensil rest, funnel, kids plate, sink drain cover and turntable protector.",1,LG
806,SandiLake Clothing,"a clothing line for children . SandiLake Clothing offers modern and trendy clothing designs for both children and adults. This handmade clothing is designed by a mom, Inspired by littles, and made for the whole family.",0,
806,SiliDog,"pet identification tags made out of silicone . SiliDog is a pet identification tag made out of silicone. The silicone tags never fade, glow in the dark, come in a variety of colors and have a social impact. The tags contain the petâ€™s name and phrases such as, â€œâ€I am chipped!â€ â€œIâ€™m lost, rub my bellyâ€, or a phone number to call.",1,LG
805,Joyce's Lulu Bang,"a line of gourmet marmalade and sauces . Joyceâ€™s Lulu Bang Sauces are used to enhance the flavor of any of your favorite foods, whether itâ€™s fish, chicken, beef, pasta, rice or salads. Flavors include Asian Persuasion andÂ BBQ Fusion among others.",0,
805,Potato Parcel,a gag gift delivery service of a message written on a potato . Potato Parcel is a gag gift delivery service of a message written on a potato. It allows you to send personalized messagesâ€”on a potato.,1,KOL
805,Sunscreenr,"a device to view the effectiveness of sunscreen . Sunscreenr is a device to detect the spots where you miss applying sunscreen. Sunscreenr has a lens and filters to see UV lightÂ and when viewing someone through it, can show where sunscreen is, and isnâ€™t.",1,KOL
805,unPack,a service for travelers that delivers pre-packed clothing to hotels . UnPack is a service to deliver pre-packed clothing to hotels for travelers. It offers professionally-packed carry-ons so the stress of packing is off your shoulders. You can choose either a â€œbusinessâ€ or a â€œplayâ€ package.,0,
804,Night Runner 270,"lights for shoes to be used by runners at night . The Night Runner 270 Shoe provides a safer way to run and walk at night. With no headbands, belts or straps, Night Runner is great for urban running, trail running, hiking, cycling and walking.",1,RH
804,Raising Wild,fashionable bathing suits for more mature women . Raising Wild is a swimsuit line that empowers women of all shapes and lifestyles to get out of their beach chairs and confidently enjoy their own adventure.,1,BC
804,TekDry,"a machine to dry out water-damaged electronic devices . TekDry is a service that saves technology damaged by water. Rather than sticking your phone into a bowl of rice, TekDry dries the phone, in addition to restoring any possible lost data, photo, and apps. It provides a miracle service that can erase that grueling mistake in just 30 minutes and can be found at select stores nationwide.",1,KOL
804,The Cookie Kahuna,"Wally Amos from the Famous Amos cookie brand pitches a new line of cookies . The Famous Wally Amos brings back taste with Cookie Kahuna, offering cookies with a whole lot of the Aloha Spirit baked right in.Â Wally Amos is the man who made cookies famous and now heâ€™s back with more amazing cookies.",0,
803,Angels and Tomboys,scented body sprays and lotions marketed to tween girls ,1,DJ+MC
803,Atlantic Candy Company,"a hollow chocolate candy with a toy inside that is legal to sell in the United States . Atlantic Candy Company is a family-owned business from St. Augustine, Fl that produces millions of confectionery items a year. They make chocolate products that contain surprise toys inside.",0,
803,Biem,a device that converts a stick of butter into a butter spray ,1,LG
803,Solemates,a cap for high-heeled shoes to prevent them from sinking into grass . Solemates is a brand of womenâ€™s shoe solutions thatÂ prevents high heel shoes from getting ruined.Â The High Heelers caps protect the heels from sinking into the grass and avert a super awkward situation.,1,RH
802,GoodHangups,"a magnetic device for hanging decorations on walls . GoodHangups turns any wall into a magnet board and is perfect for hanging poster, prints, photos, cards and more. Its stick and click magnets can attach posters, photos, prints and more to various wall surfaces, including brick, wood, glass and textured walls.",1,LG
802,Ice Age Meals,"a delivery service of pre-made meals for the paleo diet . Ice Age Meals is nutritionally crazy good andÂ offers heat-and-eat paleo meals. These meals go through a rigorous testing period and are cooked up by the chief culinary ninja and are then refined to create the perfect taste, then frozen.",0,
802,TactiBite Fish Call,a floating lure that creates sounds to attract fish . The TactiBite Fish Call offers a new high-tech way to catch fish. This device sends out sounds and vibrations that attract game fish! Fish are naturally curious and head towards those sounds and vibrations in search of their next meal.,1,RH
802,The Lapel Project,"stick-on false lapels for jackets . The Lapel Project revolutionizes menâ€™s fashion with a patent-pending application that converts a suit into a tuxedo â€“ no more renting a used tux, or buying one that youâ€™ll never use again.",1,MC
801,Fizzics,"a device to enhance the head and the flavor of bottled or canned beers . Fizzics Waytap is like the personal coffee maker but it doesnâ€™t make beer, it makes beer better. Put it on your bottle or can, and your beer tastes like it came from the tap.",1,LG+MC
801,ISlide,"fully customizable slip-on sandals . ISlides are personalized slide sandals. You can customize them with pictures, mantras, or team logos to represent your life or sport in comfort and style.",0,
801,ReThink,"content-filtering software that delays sending potentially cyberbullying messages so the user can reconsider . ReThink is the worldâ€™s first ever proactive app to stop cyberbullyingÂ before an incident happens. When someone begins to craft a potentially offensive message on social media, ReThink uses its filtering technology to determine whether or not it maybe offensive and gives the sender a second chance to reconsider their decision.",1,LG+MC
801,Spoonful of Comfort,"a delivery service of soup and sides for sick people . Spoonful of Comfort cooks up gift packages featuring handcrafted soup. It is warm, thoughtful, and delightfully personal. These ready-to-eat meals are like sending love.",0,
729,CreaProducts,a hair cutting guide and associated beauty products . CreaProducts makes gadgets to make giving yourself a haircut or doing your nails and make-up easy and awesome.,1,LG
729,Dollop Gourmet,"a non-GMO, vegan, and gluten-free frosting . Dollop Gourmet produces a non-GMO, vegan and gluten-free frosting.",1,BC
729,The Spooner,"a training device that simulates surfing, skateboarding, and snowboarding . The Spooner is a curved board that combines surfing and skating so you can do either while just hanging out.",1,BC+MC
729,Yourself Expression,"an interchangeable accessories company . Yourself Expression creates interchangeable accessories like bracelets, necklaces and rings that allow you to decide whatâ€™s in and on them to personalize it as often as you like.",0,
728,Coolbox,"a toolbox with innovative features and integrated technology . The Coolbox is a Tool Box with added features and functions â€“ battery, clock, whiteboard, light, wheels, magnetic lid and bottle opener â€“ that make all your projects easier, safer and more fun.",1,LG
728,TheNoPhone,"a fake phone for people with cell phone addiction . The NoPhone is a fake phone to help you overcome that obsessive need to check your texts, Facebook, Instagram feeds, or stick your nose in a tiny screen instead of having human contact.",0,
728,PrideBites Pet Products,"customizable accessories for pets . Custom blankets, beds, collars, toys, and even clothes for your favorite dog â€“ stop dragging your dog around without any clothes!",1,LG+RH
728,TROBO,an interactive story-telling plush robot with updatable content . TROBOs are plushy robot friends wirelessly connected to your iPad or iPhone (no android yet). The plush TROBOâ€™s speaks as it reads stories and becomes friends with your child.,1,RH
727,Beloved Shirts,"a line of humorous print clothing . Beloved Shirts sells shirts, sweatshirts, leggings, and more with all-over printings of outrageous, funny, and bizarre images like pizza, unicorns, cats and more.",0,
727,IllumiBowl,"a toilet seat light for nighttime bathroom use . IllumiBowl is a motion-activated toilet night light that fits on any toilet and gives the inner bowl a glow when you walk into the bathroom at night so that you donâ€™t have to turn on bright lights, stumble in the dark, or worse, miss the bowl.",1,KOL
727,Innovation Pet,"a line of pet toys, houses, and accessories . Innovation Pet creates upscale, modular designed pet play things, and pens.",1,DJ
727,MobCraft Beer,a craft brewery that uses crowdsourcing to create their line of beers . MobCraft is a crowdsourced craft brewery that turns your ideas into beer by letting fans vote on (pre-order) user submitted ideas and then brewing the winning beers and shipping them to those that pre-ordered!,0,
726,Felt,"an app that lets a user hand-write a message onto a greeting card and have it mailed for them . Felt lets you send personal card written in your own handwriting in the mail, right from your phone or tablet.",1,KOL
726,Pavlok,a device that uses small electrical shocks to break bad habits . Pavlok is a device that uses small electrical shocks to break bad habits.,0,
726,Pete and Pedro,a line of men's hair styling products . Pete & Pedro create menâ€™s hair styling products offered by YouTube celebrity Aaron Marino.,1,BC
726,PMS Bites,bite-sized snacks to aid women having premenstrual issues . PMS Bites are delicious and healthy treats delivered to womenâ€™s doors the week we need them most.,0,
725,Beer Blizzard,a reusable device that attaches to the domed underside of canned beverages to keep the contents cold longer . The Beer Blizzard is a plastic ice cube specifically designed to fit into the bottom of any beer or soda can on the market.,1,MC
725,The Good Promise,"a line of fruit and vegetable smoothies and sauces . The Good Promise makes portable, affordable veggie drinks and post-workout drinks that are light, and have great tasting servings of veggies, so you can have a healthy drink.",0,
725,Vengo,"a slim digital vending machine for small items . Vengo creates high-tech vending machines that hang on the wall and can carry any type of small product and go perfect in high traffic, high end spaces.",1,KOL+LG
725,Wondercide,"a natural and organic pesticide . Wondercide makes non-toxic alternatives to chemical pesticides used on pets, people, and property â€“ like flea and tick spray, insect repellant, and other solutions.",1,LG
724,brellaBox,an umbrella rental service . brellaBox pitches Shark Tank with its umbrella rental service kiosks that are saving the planet.,0,
724,Brightwheel,an app geared toward early education of toddlers that gives parents better information on their education . Brightwheel is an app geared toward day care and schools to gives parents a close look at what their kids are doing all day so they donâ€™t miss out.,1,MC
724,FashionTap,a social networking app to help sell fashion and beauty products . FashionTap isÂ a social networking app to help sell fashion and beauty products.,0,
724,My Fruity Faces,edible stickers for fruits and vegetables to encourage children to eat them . My Fruity Faces pitches the Shark Tank these edible stickers for fruits and vegetables to encourage children to eat them.,0,
723,InchBug,products for young children including personalized labels for bottles and a juice box holder that prevents squeezing . InchBug createsÂ products for children including labels for bottles and a juice box holder.,0,
723,Jarrett & Raja Productions,a magic and music act for the Las Vegas strip . Jarrett & Raja Productions come to Shark Tank to pitch a magic and music act for the Las Vegas strip.,0,
723,KidRunner,a stroller designed to be towed while jogging . KidRunner isÂ a child jogging stroller designed to be towed behind the runner.,0,
723,The Drip Drop,an edible ring designed to catch drips from an ice cream cone . The Drip Drop is an edible waffle cone ring designed to catch drips from an ice cream cone.,1,BC
722,Camp No Counselors,a sleep away camp for adults . Camp No Counselors is a summer camp for adults where you get to play like a kid all day and then play like an adult at night.,0,
722,Extreme Vehicle Protection,a plastic cover to protect your car from extreme weather . Extreme Vehicle Protection a 360 degree plastic cover to protect your car from extreme weather or storms.,1,DJ
722,Gladiator Lacrosse,practice equipment for lacrosse . Gladiator Lacrosse creates high end practice equipment for lacrosse.,0,
722,VPcabs,a digital pinball machine . VPCABS creates a digital pinball machine that can play hundreds of different games with the feel of real pinball.,1,DJ
721,Bee Free Honee,"an apple-based vegan alternative to honey . Bee Free HoneeÂ® is a plant-based, honey substitute made from organic apples grown in the USA.",1,BC+MC
721,Float Baby,a floatation and massage facility for babies . Float Baby is a local shop that offers water therapy and neonatal massage for infants as young as 2 weeks old to help muscle tone and digestion.,0,
721,MTailor,an app that takes body measurements and uses them to design custom clothing . MTailor sells menâ€™s custom clothing by measuring you with your phoneâ€™s camera.,0,
721,SmartPlate,a plate with technology that analyzes meals and calculates their nutritional value . SmartPlate recognizes and weighs your entire meal to give you a complete picture of your eating.,0,
720,BetterBack,"a back supporter which improves posture to relieve back pain . BetterBack is a back support strap that allows you to effortlessly sit in perfect posture, easing back painâ€”and preventing it.",1,LG
720,Glacé Cryotherapy,"a franchise featuring a whole-body cryotherapy device . GLACÃ‰ CRYOTHERAPY is a retail Cryotherapy spa that uses cryotherapy to create vasoconstriction to push out toxins, relive pain, and other benefits.",1,BC
720,Linka,a bicycle lock and alarm with smart technology . LINKA is a bike lock that is hard mounted to your bike frame and unlocks as you approach your bike.,0,
720,Teaspressa,"concentrated tea shots made like espresso . Teaspressa is gourmet tea inspired by coffee, and fancy flavored sugar cubes â€“ you might not know itâ€™s tea.",0,
719,BearTek,"gloves that are capable of remotely controlling smartphones and similar devices through different finger gestures . BearTek are smartgloves with bluetooth that allow you to wirelessly control your phone, music, GoPro camera, and more while you ski, play or work.",1,DJ
719,Combat Flip Flops,"a line of flip-flops, belts, and other accessories manufactured in war torn and volatile territories . Veteran owned and operated, Combat Flip Flops is on a mission to create peaceful, forward-thinking opportunities for self-determined entrepreneurs affected by conflict.",1,DJ+LG+MC
719,Major Mom,"a service to professionally organize cluttered rooms . Major MomÂ® is a residential organizing service company that helps you get organized in your home, office, or garage.",0,
719,R. Riveter,handbags made from upcycled military materials and manufactured by military spouses . R. Riveter offers purses and accessories â€œmade by the hand of spouses wherever the military takes themâ€.,1,MC
718,Custard Stand Food Products,hot dog chili . Custard Stand is a hot dog and chili restaurant chain with packaged foods distributed in stores.,0,
718,Insta-Fire,"a fire starter product with less chemicals . Insta-Fire is a fire starting material that is safe, can start a fire in any weather condition, and can be stored for decades for emergency preparedness or camping.",1,LG+MC
718,PRx Performance,"weightlifting and gym equipment for use in small spaces . PRx Performance creates products for serious lifters, including a garage gym that folds out of the way so you can still park your car.",1,KOL
718,Rags to Raches,a line of one-piece rompers for children . Rags to Raches creates a hot line of kids rompers and other fun t-shirts and outfits for your kids and you.,1,RH
717,Clean Sleep,"a service to clean mattresses and associated bedding . Clean Sleep provides a services that sanitizes your mattress so youâ€™re not sleeping on all that dead skin, dust, and mites â€“ yuk!",0,
717,Nohbo,"concentrated balls of shampoo and conditioner designed to reduce waste from plastic bottles . NNohbo is an eco-friendly shampoo ball â€“ with no plastic shampoo bottles â€“ wrapped in a biodegradable plant-based material. Each Nohbo is a single use ball of shampoo, conditioner, body wash, or shaving cream.",1,MC
717,Sworkit,"a personalized customizeable workout app . Sworkit a fitness app that allows you to customize workouts for the amount of time you have for strength, yoga, pilates and stretching routines requiring no equipment.",1,MC
717,TUTUblue,a line of full-body swimsuits to prevent sun damage . Tutublue is a one piece beach suit with built-in UPF50 fabric to protect you from the sun and look stylish at the same time.,0,
716,2400 Expert,"a test prep resource for mastering the SAT test, created by a student who earned a perfect score . Prep Expert (formerly 2400 Expert) is an SAT & ACT test preparation service created and run by someone who actually scored a perfect 2400 on the SATs.",1,MC
